league_key,league_name,club_id,club_name,season,season_start_year,direction,player_name,age,position,other_club_name,other_competition,fee_text,fee_eur,move_type,source_name,source_endpoint,collected_at_utc,confidence_level,notes
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Aaron Ramsey,17.0,Central Midfield,Cardiff,Championship,€6.40m,6400000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Amaury Bischoff,21.0,Central Midfield,W. Bremen II,3. Liga,€300k,300000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Andrey Arshavin,27.0,Left Winger,Zenit S-Pb,Premier Liga,€16.50m,16500000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Armand Traoré,19.0,Left-Back,Portsmouth,Premier League,End of loan 01/05/2009,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Carlos Vela,19.0,Right Winger,CA Osasuna,LaLiga,End of loan 30/06/2008,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Fran Mérida,18.0,Central Midfield,Real Sociedad,LaLiga2,End of loan 30/06/2008,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Henri Lansbury,17.0,Central Midfield,Arsenal U18,England,-,0.0,internal_promotion_or_return,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Henri Lansbury,18.0,Central Midfield,Scunthorpe Utd.,League One,End of loan 25/05/2009,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Jack Wilshere,16.0,Central Midfield,Arsenal U18,England,-,0.0,internal_promotion_or_return,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Kerrea Gilbert,22.0,Right-Back,Leicester,League One,End of loan 01/05/2009,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Mikaël Silvestre,31.0,Left-Back,Man Utd,Premier League,€950k,950000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Nacer Barazite,18.0,Attacking Midfield,Arsenal U18,England,-,0.0,internal_promotion_or_return,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Nacer Barazite,18.0,Attacking Midfield,Derby,Championship,End of loan 25/05/2009,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Samir Nasri,21.0,Attacking Midfield,Marseille,Ligue 1,€16.00m,16000000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,arrival,Wojciech Szczęsny,18.0,Goalkeeper,Arsenal U18,England,-,0.0,internal_promotion_or_return,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,departure,Aleksandr Hleb,27.0,Attacking Midfield,Barcelona,LaLiga,€17.00m,17000000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,departure,Armand Traoré,18.0,Left-Back,Portsmouth,Premier League,loan transfer,0.0,loan_transfer,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,departure,Gavin Hoyte,18.0,Right-Back,Watford,Championship,loan transfer,0.0,loan_transfer,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,departure,Gilberto Silva,31.0,Defensive Midfield,Panathinaikos,Super League 1,€2.50m,2500000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2008/09,2008,departure,Henri Lansbury,18.0,Central Midfield,Scunthorpe Utd.,League One,loan transfer,0.0,loan_transfer,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,
