league_key,league_name,club_id,club_name,season,season_start_year,direction,player_name,age,position,other_club_name,other_competition,fee_text,fee_eur,move_type,source_name,source_endpoint,collected_at_utc,confidence_level,notes
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Armand Traoré,17.0,Left-Back,Arsenal U18,England,-,0.0,internal_promotion_or_return,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Bacary Sagna,24.0,Right-Back,AJ Auxerre,Ligue 1,€9.00m,9000000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Carlos Vela,18.0,Right Winger,UD Salamanca,LaLiga2,End of loan 30/06/2007,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Eduardo,24.0,Centre-Forward,Dinamo Zagreb,SuperSport HNL,€13.50m,13500000.0,transfer_fee,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Fran Mérida,17.0,Central Midfield,Arsenal U18,England,-,0.0,internal_promotion_or_return,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Gavin Hoyte,17.0,Right-Back,Arsenal U18,England,-,0.0,internal_promotion_or_return,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Johan Djourou,20.0,Centre-Back,Birmingham,Premier League,End of loan 31/12/2007,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,José Antonio Reyes,23.0,Right Winger,Real Madrid,LaLiga,End of loan 30/06/2007,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Kerrea Gilbert,21.0,Right-Back,Southend United,League One,End of loan 01/05/2008,0.0,end_of_loan,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
premier_league,Premier League,arsenal,Arsenal,2007/08,2007,arrival,Kieran Gibbs,17.0,Left-Back,Arsenal U18,England,-,0.0,internal_promotion_or_return,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,
