season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Real Madrid (C),38,32,4,2,121,32,+89,100,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,2,Barcelona,38,28,7,3,114,29,+85,91,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,3,Valencia,38,17,10,11,59,44,+15,61,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,4,Málaga,38,17,7,14,54,53,+1,58,Qualification for the Champions League play-off round,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,5,Atlético Madrid,38,15,11,12,53,46,+7,56,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,6,Levante,38,16,7,15,54,50,+4,55,Qualification for the Europa League play-off round,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,7,Osasuna,38,13,15,10,44,61,-17,54,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,8,Mallorca,38,14,10,14,42,46,-4,52,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,9,Sevilla,38,13,11,14,48,47,+1,50,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,10,Athletic Bilbao,38,12,13,13,49,52,-3,49,Qualification for the Europa League third qualifying round,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,11,Getafe,38,12,11,15,40,51,-11,47,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,12,Real Sociedad,38,12,11,15,46,52,-6,47,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,13,Real Betis,38,13,8,17,47,56,-9,47,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,14,Espanyol,38,12,10,16,46,56,-10,46,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,15,Rayo Vallecano,38,13,4,21,53,73,-20,43,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,16,Zaragoza,38,12,7,19,36,61,-25,43,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,17,Granada,38,12,6,20,35,56,-21,42,,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,18,Villarreal (R),38,9,14,15,39,53,-14,41,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,19,Sporting Gijón (R),38,10,7,21,42,69,-27,37,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
,20,Racing Santander (R),38,4,15,19,28,63,-35,27,Relegation to the Segunda División,0,https://en.wikipedia.org/wiki/2011%E2%80%9312_La_Liga
