league_key,league_name,club_id,club_name,season,gross_transfer_spend_eur,transfer_income_eur,net_transfer_spend_eur,incoming_transfer_count,outgoing_transfer_count,source_name,source_endpoint,collected_at_utc,confidence_level,notes,club_name_wages,estimated_player_wages_eur,estimated_player_wages_original,estimated_player_wages_original_currency,estimated_player_wages_original_unit,weekly_wages_original,official_staff_costs_eur,currency_original,units_original,conversion_rate_to_eur,exchange_rate_source,source_name_wages,source_url,date_accessed,evidence,confidence_level_wages,requires_manual_review,notes_wages,_source_file,season_start_year,season_end_year,gbp_to_eur_rate,eur_to_usd_rate,gbp_to_usd_rate,inflation_adjustment_to_2025_26,fx_source,inflation_source,economic_factor_notes,economic_factors_complete,gross_transfer_spend_gbp,gross_transfer_spend_gbp_real_2025_26,gross_transfer_spend_eur_real_2025_26,gross_transfer_spend_usd,gross_transfer_spend_usd_real_2025_26,transfer_income_gbp,transfer_income_gbp_real_2025_26,transfer_income_eur_real_2025_26,transfer_income_usd,transfer_income_usd_real_2025_26,net_transfer_spend_gbp,net_transfer_spend_gbp_real_2025_26,net_transfer_spend_eur_real_2025_26,net_transfer_spend_usd,net_transfer_spend_usd_real_2025_26,estimated_player_wages_gbp,estimated_player_wages_gbp_real_2025_26,estimated_player_wages_eur_real_2025_26,estimated_player_wages_usd,estimated_player_wages_usd_real_2025_26,official_staff_costs_gbp,official_staff_costs_gbp_real_2025_26,official_staff_costs_eur_real_2025_26,official_staff_costs_usd,official_staff_costs_usd_real_2025_26,revenue_eur,revenue_gbp,revenue_gbp_real_2025_26,revenue_eur_real_2025_26,revenue_usd,revenue_usd_real_2025_26,real_price_basis_label,points,league_position,raw_player_cost_eur,raw_player_cost_gbp,raw_player_cost_usd,raw_player_cost_eur_real_2025_26,cost_per_point,wage_to_revenue_ratio
premier_league,Premier League,arsenal,Arsenal,2000/01,56300000.0,46030000.0,10270000.0,23.0,19.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2000,2026-04-27T17:54:15.739486+00:00,high,Displayed departures sum (46030000) differs from parsed departures fee sum (46025000).,,,,,,,,,,,,,,,,,,,,2000,2001,1.62545,0.90901,1.47755,1.918113,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2000 and 2001.,True,34636562.182780154,66436840.19809899,107989761.89999999,51177263.0,98163773.464719,28318311.852102492,54317722.101571865,88290741.39,41841730.3,80257166.83092389,6318250.330677658,12119118.096527115,19699020.509999998,9335532.7,17906606.633795097,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2001/02,32689999.999999996,12000000.0,20689999.999999996,21.0,15.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2001,2026-04-27T17:54:17.784048+00:00,high,Displayed arrivals sum (32690000) differs from parsed arrivals fee sum (32685000).,,,,,,,,,,,,,,,,,,,,2001,2002,1.5998,0.919959,1.47175,1.894801,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2001 and 2002.,True,20433804.225528188,38717992.68033504,61941044.68999999,30073459.709999997,56983221.53196771,7500937.61720215,14212784.09801225,22737612.0,11039508.0,20917670.797908,12932866.608326038,24505208.582322784,39203432.68999999,19033951.709999997,36065550.73405971,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2002/03,12830000.0,8430000.0,4400000.0,13.0,18.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2002,2026-04-27T17:54:20.039809+00:00,high,,,,,,,,,,,,,,,,,,,,,2002,2003,1.51825,1.03369,1.5694,1.8708,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2002 and 2003.,True,8450518.68928042,15809230.363905812,24002364.0,13262242.7,24811003.64316,5552445.249464844,10387514.572698832,15770844.0,8714006.7,16302163.734359998,2898073.439815577,5421715.791206982,8231520.0,4548236.0,8508839.9088,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2003/04,27420000.0,1050000.0,26370000.0,20.0,22.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2003,2026-04-27T17:54:21.971549+00:00,high,Displayed arrivals sum (27420000) differs from parsed arrivals fee sum (27425000).,,,,,,,,,,,,,,,,,,,,2003,2004,1.45975,1.187738,1.7338,1.846184,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2003 and 2004.,True,18784038.36273334,34678791.08066449,50622365.28,32567775.959999997,60126106.89293664,719301.2502140776,1327962.4593252267,1938493.2,1247124.9,2302422.0363816,18064737.112519264,33350828.621339265,48683872.08,31320651.06,57823684.85655504,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2004/05,12480000.0,3900000.0,8580000.0,21.0,19.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2004,2026-04-27T17:54:23.928175+00:00,high,,,,,,,,,,,,,,,,,,,,,2004,2005,1.4684,1.243258,1.8256,1.815136,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2004 and 2005.,True,8499046.581312994,15426925.415418142,22652897.28,15515859.84,28163395.76653824,2655952.056660311,4820914.19231817,7079030.4,4848706.2,8801061.177043201,5843094.524652683,10606011.223099973,15573866.88,10667153.64,19362334.58949504,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2005/06,46000000.0,25000000.0,21000000.0,16.0,19.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2005,2026-04-27T17:54:26.062098+00:00,high,,,,,,,,,,,,,,,,,,,,,2005,2006,1.46495,1.249838,1.83095,1.776076,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2005 and 2006.,True,31400389.091777876,55769477.45656848,81699496.0,57492548.0,102111134.681648,17065428.854227107,30309498.617700264,44401900.0,31245950.0,55495181.8922,14334960.237550769,25459978.83886822,37297596.0,26246598.0,46615952.789448,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2006/07,15000000.0,12630000.0,2370000.0,14.0,16.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2006,2026-04-27T17:54:28.097993+00:00,high,Displayed departures sum (12630000) differs from parsed departures fee sum (12625000).,,,,,,,,,,,,,,,,,,,,2006,2007,1.46445,1.312848,1.9226,1.735436,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2006 and 2007.,True,10242753.252074158,17775642.73276657,26031540.0,19692720.0,34175455.22592,8624398.23824644,14967091.18098945,21918556.68,16581270.24,28775733.30022464,1618355.013827717,2808551.551777118,4112983.32,3111449.7600000002,5399721.925695361,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2007/08,30950000.0,56730000.0,-25780000.0,17.0,18.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2007,2026-04-27T17:54:30.074046+00:00,high,Displayed departures sum (56730000) differs from parsed departures fee sum (56725000).,,,,,,,,,,,,,,,,,,,,2007,2008,1.36035,1.416915,1.9275,1.685405,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2007 and 2008.,True,22751497.776307568,38345488.10967766,52163284.75,43853519.25,73910940.61154625,41702503.03230786,70285607.12316683,95613025.65,80381587.95,135475530.23886976,-18951005.256000295,-31940119.01348918,-43449740.9,-36528068.699999996,-61564589.62732349,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2008/09,40150000.0,25800000.0,14350000.0,15.0,11.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2008,2026-04-27T17:54:32.020261+00:00,high,,,,,,,,,,,,,,,,,,,,,2008,2009,1.19105,1.435414,1.70965,1.638179,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2008 and 2009.,True,33709751.899584405,55222607.65710928,65772886.85,57631872.1,94411322.6049059,21661559.128500063,35485511.271567106,42265018.2,37033681.199999996,60667798.834534794,12048192.771084338,19737096.38554217,23507868.650000002,20598190.9,33743523.7703711,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
premier_league,Premier League,arsenal,Arsenal,2009/10,12000000.0,47700000.0,-35700000.0,13.0,13.0,transfermarkt_club_page,https://www.transfermarkt.com/arsenal/transfers/verein/11/saison_id/2009,2026-04-27T17:54:33.875125+00:00,high,,,,,,,,,,,,,,,,,,,,,2009,2010,1.14485,1.359348,1.55625,1.594432,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2009 and 2010.,True,10481722.496396909,16712393.763375117,19133184.0,16312176.0,26008655.404032,41664846.92317771,66431765.20941609,76054406.4,64840899.6,103384405.2310272,-31183124.4267808,-49719371.446040966,-56921222.400000006,-48528723.6,-77375749.82699521,,,,,,,,,,,,,,,,,2025/26 prices,,,,,,,,
